"CONTINENT","LOCATION","DATE_","POPULATION","NEW_VACCINATIONS","ROLLING_PPL_VACC","PERCENT_VACCINATED"
"Asia","Afghanistan",24-FEB-20,38928341,"",,
"Asia","Afghanistan",25-FEB-20,38928341,"",,
"Asia","Afghanistan",26-FEB-20,38928341,"",,
"Asia","Afghanistan",27-FEB-20,38928341,"",,
"Asia","Afghanistan",28-FEB-20,38928341,"",,
"Asia","Afghanistan",29-FEB-20,38928341,"",,
"Asia","Afghanistan",01-MAR-20,38928341,"",,
"Asia","Afghanistan",02-MAR-20,38928341,"",,
"Asia","Afghanistan",03-MAR-20,38928341,"",,
"Asia","Afghanistan",04-MAR-20,38928341,"",,
"Asia","Afghanistan",05-MAR-20,38928341,"",,
"Asia","Afghanistan",06-MAR-20,38928341,"",,
"Asia","Afghanistan",07-MAR-20,38928341,"",,
"Asia","Afghanistan",08-MAR-20,38928341,"",,
"Asia","Afghanistan",09-MAR-20,38928341,"",,
"Asia","Afghanistan",10-MAR-20,38928341,"",,
"Asia","Afghanistan",11-MAR-20,38928341,"",,
"Asia","Afghanistan",12-MAR-20,38928341,"",,
"Asia","Afghanistan",13-MAR-20,38928341,"",,
"Asia","Afghanistan",14-MAR-20,38928341,"",,
"Asia","Afghanistan",15-MAR-20,38928341,"",,
"Asia","Afghanistan",16-MAR-20,38928341,"",,
"Asia","Afghanistan",17-MAR-20,38928341,"",,
"Asia","Afghanistan",18-MAR-20,38928341,"",,
"Asia","Afghanistan",19-MAR-20,38928341,"",,
"Asia","Afghanistan",20-MAR-20,38928341,"",,
"Asia","Afghanistan",21-MAR-20,38928341,"",,
"Asia","Afghanistan",22-MAR-20,38928341,"",,
"Asia","Afghanistan",23-MAR-20,38928341,"",,
"Asia","Afghanistan",24-MAR-20,38928341,"",,
"Asia","Afghanistan",25-MAR-20,38928341,"",,
"Asia","Afghanistan",26-MAR-20,38928341,"",,
"Asia","Afghanistan",27-MAR-20,38928341,"",,
"Asia","Afghanistan",28-MAR-20,38928341,"",,
"Asia","Afghanistan",29-MAR-20,38928341,"",,
"Asia","Afghanistan",30-MAR-20,38928341,"",,
"Asia","Afghanistan",31-MAR-20,38928341,"",,
"Asia","Afghanistan",01-APR-20,38928341,"",,
"Asia","Afghanistan",02-APR-20,38928341,"",,
"Asia","Afghanistan",03-APR-20,38928341,"",,
"Asia","Afghanistan",04-APR-20,38928341,"",,
"Asia","Afghanistan",05-APR-20,38928341,"",,
"Asia","Afghanistan",06-APR-20,38928341,"",,
"Asia","Afghanistan",07-APR-20,38928341,"",,
"Asia","Afghanistan",08-APR-20,38928341,"",,
"Asia","Afghanistan",09-APR-20,38928341,"",,
"Asia","Afghanistan",10-APR-20,38928341,"",,
"Asia","Afghanistan",11-APR-20,38928341,"",,
"Asia","Afghanistan",12-APR-20,38928341,"",,
"Asia","Afghanistan",13-APR-20,38928341,"",,
"Asia","Afghanistan",14-APR-20,38928341,"",,
"Asia","Afghanistan",15-APR-20,38928341,"",,
"Asia","Afghanistan",16-APR-20,38928341,"",,
"Asia","Afghanistan",17-APR-20,38928341,"",,
"Asia","Afghanistan",18-APR-20,38928341,"",,
"Asia","Afghanistan",19-APR-20,38928341,"",,
"Asia","Afghanistan",20-APR-20,38928341,"",,
"Asia","Afghanistan",21-APR-20,38928341,"",,
"Asia","Afghanistan",22-APR-20,38928341,"",,
"Asia","Afghanistan",23-APR-20,38928341,"",,
"Asia","Afghanistan",24-APR-20,38928341,"",,
"Asia","Afghanistan",25-APR-20,38928341,"",,
"Asia","Afghanistan",26-APR-20,38928341,"",,
"Asia","Afghanistan",27-APR-20,38928341,"",,
"Asia","Afghanistan",28-APR-20,38928341,"",,
"Asia","Afghanistan",29-APR-20,38928341,"",,
"Asia","Afghanistan",30-APR-20,38928341,"",,
